,UsernamePost,DatePosting,Posting,Saham
682,ferdi261296,"12 May 21, 13:21",@thowilz ah bapak suka merendah hehe,[]
683,cagc33bw109,"12 May 21, 13:21","berharap turun terus harganya wkwkwk,biar bisa beli lebih banyak lot.",[]
684,Jonjonputra,"12 May 21, 13:21",@isagrohebat nah menarik ini lawan DMND bertambah yaitu ULTJ ..,"DMND,ULTJ"
685,ppnpa,"12 May 21, 13:20",Baca sampek bawah.. akhir bulan mau RI,BACA
686,kalong78,"12 May 21, 13:20",$IHSG Saham apa yang diuntungkan bila pasca lebaran Covid meledak!!! Farmasi $KAEF $INAF $ $IRRA $AGII,"AGII,INAF,IRRA,KAEF"
687,StockbitReports,"12 May 21, 13:20",Keterbukaan Informasi Terkait Aksi Korporasi [SKLT],AKSI
688,AlFatihJaguar,"12 May 21, 13:20",apakah saham Wege sudah bagi deviden ?,WEGE
689,Quil,"12 May 21, 13:19",@cruzey tugas nya apa? apa.yang harus dikerjain? belakangan lihat ngga ada ilmu yang dibagi,[]
690,Quil,"12 May 21, 13:19",@cruzey tugas nya apa? apa.yang harus dikerjain? belakangan lihat ngga ada ilmu yang dibagi,[]
691,winsonskrrrtt,"12 May 21, 13:18","@jameshermanto om james , persediaan sama piutang selalu bertumbuh tapi kenapa ocfnya negatif terus ya",[]
692,kaburterus,"12 May 21, 13:17","@bennix betul, jangan pake nama terproteksi kl terjadi default cuma bisa bantu menagihkan seperti tugasnya & yg sudah dilakukan bank kustodian & wali amanat. sama aja ngasih makan MI/FM yg gak bertanggungjawab dr kupon underlyingny. mendingan beli obligasi langsung aja dpt besaran kuponnya full om",BANK
693,buddhisudrajat,"12 May 21, 13:16","$ITMG wow labanya melesat 191%
https://bit.ly/3eF1LQF",ITMG
694,boysimarmata,"12 May 21, 13:16",@Candra088 wajarnya di 70,[]
695,vorstenlanden,"12 May 21, 13:16","@Elite US index dan crypto bisa ATH sekarang ini karena paket stimulus. Hasilnya ya overvalued kalo diliat dari Shiller P/E dan buffet indicator. Kayaknya orang-orang pada menantikan pengumuman Consumer Price Index yg rencananya bakal diumumin hari ini (malam waktu indo). Kalo CPI naik signifikan, bisa jadi The Fed menaikkan interest rate. Kalo itu terjadi big funds bakal mindahin dana dari stocks dan crypto lalu beli US bonds. SP500, NASDAQ, DJIA, dan crypto bisa jadi turun kalo itu terjadi. Harapannya orang indo yg floating loss di crypto bakal cut loss dan balik lagi ke IHSG, biar bursa lebih bergairah.",INDO
696,uakmungegame,"12 May 21, 13:14","Heboh x, org begini biasany cuman pamer pas profit",[]
697,yongkinew,"12 May 21, 13:14","Just a careless prediciton, In a few years I will earn IDR 1068093889",[]
698,zulbiadi,"12 May 21, 13:13","Stop trading dulu....
Khusus muslim mari rayakan Idul Fitri dengan takbir...
#BBRI #ANTM $UNVR $BBCA $HRUM
https://bit.ly/2Qa498D","ANTM,BBCA,BBRI,HRUM,MARI,UNVR"
699,maroriver,"12 May 21, 13:13","@skydrugz27 Yg udah dikoleksi CAKE, BAKE, UNI & SUSHI.. Masih ada beberapa yg lain.",[]
700,mela15,"12 May 21, 13:12",$ASII,ASII
701,aldyfadilillaa,"12 May 21, 13:12","@sidiksaham stocbit daftar ny pake atm sinarmas kan bg, trs kelanjutan nya gmna ya bg?, saya juga sudah tf ke rekening sinarmas saya cmn kok blm masuk juga ya saldo nya?, mohon bimbingan buat pemula bg",[]
702,risky666,"12 May 21, 13:11",$CPO udh 4500 kalo $IHSG hari ini buka warung $AALI $LSIP $PALM dkk hampir bisa dipastikan ke utara harganya,"AALI,LSIP,PALM"
703,bejocuan,"12 May 21, 13:11 · Edited on 12 May 21, 13:11","@NagaHitam jelas BMRI, karena pbv masih 1.5 & punya 50.9% BRIS","BMRI,BRIS"
704,Candra088,"12 May 21, 13:11",@boysimarmata 7 triliun harga 200 an wajar dong,[]
705,yongkinew,"12 May 21, 13:10","Just a careless prediciton, In a few years I will earn IDR 911503907",[]
706,AndreyVernando,"12 May 21, 13:10",$TLKM,TLKM
707,munas17,"12 May 21, 13:09","@sidiksaham iyah oom, udah bener ada tanggal atau bulan nya, ini kok jdi ilang yah oom, buat kesal ajah...",[]
708,xiaosuf,"12 May 21, 13:08","$TLKM mau ngomong apapun kalau bandar gak naikin harga ya gak naik, mau kucing dirumah dikasih hp semua buat internetan
harga saham $TLKM ya jelas ke 2500",TLKM
709,munas17,"12 May 21, 13:08",@kaburterus wakaka,[]
710,yongkinew,"12 May 21, 13:07","Just a careless prediciton, In a few years I will earn IDR 355037927",[]
711,sidiksaham,"12 May 21, 13:07","@aldyfadilillaa deposit? maksudnya?
@kober",[]
712,NagaHitam,"12 May 21, 13:07","$BBRI $BMRI $BBNI $BBCA
bursa buka tangal berapa?
Pilih yang mana & kenapa?","BBCA,BBNI,BBRI,BMRI"
713,sidiksaham,"12 May 21, 13:06",@kaburterus ... tgl an di chart,[]
714,skydrugz27,"12 May 21, 13:06","@maroriver saya belum coba koin exchange lainnya.

Token decentralized exchange apa saja contohnya om",KOIN
715,xiaosuf,"12 May 21, 13:06","visi : foya
misi : foya
visi misi : foya foya
don't ber $TELE $TELE bosque
nanti juga hangus juga itu duit
btw gimana itu investasinya di tele
udah cuan berapa ya $TLKM","TELE,TLKM"
716,sidiksaham,"12 May 21, 13:05","@munas17 ooo.. gk ada tanggalannya, iya juga, jadi hrs pake chart lain utk lihat lebih detail.",[]
717,frans2468,"12 May 21, 13:04",Cina yg terbesar bro. Jgn sok tau dah,[]
718,skydrugz27,"12 May 21, 13:04",@DevanSetyawan i see. Nice insight,[]
719,skydrugz27,"12 May 21, 13:04","@calista2304 iya kena juga.

Tapi kalau pakai tokokripto Binance lebih kecil fee nya

Sudah punya akun kripto?

Kalau belum, bisa buka akun lewat tokokripto di link ini
https://bit.ly/3abPgJS

Atau buka lewat Binance
Pakai link ini


Untuk modal <10 juta sebaiknya tokokripto saja cuma kelemahan jumlah koin sedikit

Kalau modal >10 juta di Binance, koin lebih banyak

Sebaiknya bikin akun dulu di Binance.

Karena kita bisa log in di Tokokripto pakai akun Binance karena mereka satu perusahaan.

Untuk melakukan top up ke Binance maka terlebih dahulu lakukan top Up ke Tokokripto lalu transfer koin ke Binance.","KOIN,LINK,SATU"
720,yongkinew,"12 May 21, 13:03","Just a careless prediciton, In a few years I will earn IDR 938053503",[]
721,skydrugz27,"12 May 21, 13:03","Sudah punya akun kripto?

Kalau belum, bisa buka akun lewat tokokripto di link ini
https://bit.ly/3abPgJS

Atau buka lewat Binance
Pakai link ini
https://bit.ly/3a82jvO

Untuk modal <10 juta sebaiknya tokokripto saja cuma kelemahan jumlah koin sedikit

Kalau modal >10 juta di Binance, koin lebih banyak

Sebaiknya bikin akun dulu di Binance.

Karena kita bisa log in di Tokokripto pakai akun Binance karena mereka satu perusahaan.

Untuk melakukan top up ke Binance maka terlebih dahulu lakukan top Up ke Tokokripto lalu transfer koin ke Binance.","KOIN,LINK,SATU"
722,skydrugz27,"12 May 21, 13:03","Sudah punya akun kripto?

Kalau belum, bisa buka akun lewat tokokripto di link ini
https://bit.ly/3abPgJS

Atau buka lewat Binance
Pakai link ini
https://bit.ly/3a82jvO

Untuk modal <10 juta sebaiknya tokokripto saja cuma kelemahan jumlah koin sedikit

Kalau modal >10 juta di Binance, koin lebih banyak

Sebaiknya bikin akun dulu di Binance.

Karena kita bisa log in di Tokokripto pakai akun Binance karena mereka satu perusahaan.

Untuk melakukan top up ke Binance maka terlebih dahulu lakukan top Up ke Tokokripto lalu transfer koin ke Binance.","KOIN,LINK,SATU"
723,xiaosuf,"12 May 21, 13:02",2500 lebih nyata $TLKM,TLKM
724,Heryprisma,"12 May 21, 13:01",@SetiawanSkom optimis terus pak,[]
725,Heryprisma,"12 May 21, 13:00","@MaknaInvestasiT2 sama2, Trims",[]
726,MaknaInvestasiT2,"12 May 21, 13:00","@faraghyhasan

Bisa jadi Pak.

Cuma kalau ga ada stand by buyer kayanya susah abisin barang gitu banyak Pak. 35 Miliar yang diterbitkan dibanding 32 saham yang beredar.

Buat yang tertarik sebaiknya ditunggu saja harga pelaksanaan dan rasio Right Issue-nya.",[]
727,MaknaInvestasiT2,"12 May 21, 13:00","@faraghyhasan

Bisa jadi Pak.

Cuma kalau ga ada stand by buyer kayanya susah abisin barang gitu banyak Pak. 35 Miliar yang diterbitkan dibanding 32 saham yang beredar.

Buat yang tertarik sebaiknya ditunggu saja harga pelaksanaan dan rasio Right Issue-nya.",[]
728,sukram88,"12 May 21, 12:59",@jameshermanto mamam tuh produk,[]
729,bapaksukses,"12 May 21, 12:58",@Elite bagus dong bapak kalau jatuh lagi semua murah lagi bapak. itu yang ditunggu tunggu bapak,[]
730,Alvin3131,"12 May 21, 12:58",Porto kakak downtrend semua loh kecuali DOID ama KEJU.,"DOID,KEJU"
731,viper20,"12 May 21, 12:58",$MPPA abis lebaran ARA gak nih saham ? Di beli gojek lohh,MPPA
732,risky666,"12 May 21, 12:57 · Edited on 12 May 21, 13:11","@otoxilinder transaksi seperti apa ya maksudnya? yg namanya saham itu ada yg small mid large cap..ente maunya semua saham large cap gitu?

yang namanya transaksi nego ya ga tiap hari lah om ..ane cuma kasih tau kalo beli saham bukan lewat pasar reguler doang..

betul likuiditas emang penting, makanya perlu belajar namanya portfolio dan money management..

saham dr small cap bisa berubah jadi large cap dan volume transaksi bisa meningkat contoh kayak dr transaksi cuma puluhan juta skrg udh ratusan-miliaran trx hariannya..kalo investor percaya emiten tersebut kedepan bakal bagus walaupun likuiditas masih kecil pasti bakal ada aja big money yg masuk, dan karena trx harian nilainya kecil biasanya mereka masuk lewat pasar nego..

masalah exit? nanti kalau market udh mulai hype sama emiten yg bagus fundamentalnya itu baru deh mereka keluar, smart/big money ga keluar masuk tiap hari di sebuah emiten om , contoh liat aja tahun 2016-2018 kayak gimana volume hariannya, sepi, stream tbig di stockbit tahun 2018 juga masih sepi.. mulai 2019 sampe sekarang baru deh volumenya naik, kenapa? karena market mulai recognize mereka..

oiya kasus hukum ya? ente udh baca keterbukaan informasi dr emiten yg bersangkutan belum? kalo udh kasih tau ane ya, dan coba cek di pengadilan mana kasus mereka terdaftar soalnya ane udh cek di berbagai website pengadilan kayaknya belum terdaftar..

jangan maen asal cap itu emiten sahamnya gorengan, belum juga digoreng udh dibilang gorengan wkwkwkwk","BACA,TBIG"
733,Hacigo,"12 May 21, 12:56","@Wisdom28

Maaf nama aslinya craight Wright asal Australia ya ?

Poinnya adalah asal negara mereka adalah negara negara yang memang teknologinya sudah mapan.

bukan yang masih bawa bawa ""batu"" kayak isis ataupun OPM.

kasar banget kuceng langsung goblok goblokin orang, padahal bahas gudang garam kek religius sekali td",[]
734,kober,"12 May 21, 12:56",@aldyfadilillaa hu @sidiksaham ada yg minta norek tuh,[]
735,sukram88,"12 May 21, 12:56",all in saja lebih baik,[]
736,yongkinew,"12 May 21, 12:56",$ZZZZ is predicted to profit for USD 773097543,[]
737,bejocuan,"12 May 21, 12:55","@bejocuan iya longterm, tapi dengan kinerja Q1 yg naik drastis, kayaknya sebentar lagi balik ke 9000",[]
738,maroriver,"12 May 21, 12:54","@skydrugz27 Yes, karena alasan itulah dari awal udah mulai koleksi token-token exchange.. GT dari gate io, HT dari Huobi, dll.. Token-token decentralized exchange jg layak koleksi om sky",[]
739,Cintagame,"12 May 21, 12:54",@DedyLai besok libur bro. lebaran dulu..,[]
740,yongkinew,"12 May 21, 12:54",$BBCA is predicted to profit for USD 435790688,BBCA
741,sukram88,"12 May 21, 12:53","ok, approve d",[]
742,himanaojiisan,"12 May 21, 12:51",bammm .... bammmmm ..... bammmmmmm,[]
743,yongkinew,"12 May 21, 12:51","No, I think you would earn IDR 715410853",[]
744,sukram88,"12 May 21, 12:50","ok, please clean the toilet",[]
745,yongkinew,"12 May 21, 12:49","No, I think you would earn IDR 219309739",[]
746,faraghyhasan,"12 May 21, 12:48",@MaknaInvestasiT2 eh iya bapak juga,[]
747,faraghyhasan,"12 May 21, 12:48",@MaknaInvestasiT2 Sudah tanda tangan LoU yang menjadi bagian Kookmin minimal 51% di Bukopin berarti perjanjian LoU nya udah selesai dong kan udah di atasa 51% di PUT kali ini gk ada stand buy buyer pak,[]
748,faraghyhasan,"12 May 21, 12:48",@MaknaInvestasiT2 Sudah tanda tangan LoU yang menjadi bagian Kookmin minimal 51% di Bukopin berarti perjanjian LoU nya udah selesai dong kan udah di atasa 51% di PUT kali ini gk ada stand buy buyer pak,[]
749,iamabimanyu,"12 May 21, 12:47","hayooo om @rambo ,bedah niihh LQ1 nya
kasih pencerahan kepd kita2",[]
750,yongkinew,"12 May 21, 12:47","Just a careless prediciton, In a few years I will earn IDR 765860046",[]
751,Wisdom28,"12 May 21, 12:47","@kaburterus
Aahhh dasar munafik ente",[]
752,NNKPRSTY13,"12 May 21, 12:46","$PTPP $WIKA $ADHI $WSKT

Kalo PTPP 1.50x, bagger dong, masa kalah sama WSKT yang bobrok dan dihargai 1.96x","ADHI,MASA,PTPP,WIKA,WSKT"
753,bejocuan,"12 May 21, 12:46",hahaha di 5850 aja udah gw sikat nambah muatan kemarin,[]
754,eddychandra,"12 May 21, 12:46",@sigambal iya memang individual publik cuma di bawah 1 milyar lembar. itu sebabnya yg bilang public 60% itu karena ngak tau 60% itu komposisinya apa aja.,[]
755,yongkinew,"12 May 21, 12:46","Just a careless prediciton, In a few years I will earn IDR 853221464",[]
756,Cintagame,"12 May 21, 12:45 · Edited on 12 May 21, 12:46","contoh value investing yah $BEST. perusahaan properti tapi seperti spekulan tanah. pantang jual murah. lebih baik kagak ada penjualan daripada jual obral. entah mau sampai kapan pake strategi yg out of the box gini. Beda jauh dengan $DMAS. penjualan bagus, deviden jor joran. tapi kalo dmas udah gak punya lahan industri modal murah karena sudah laku semua, kedepannya jualan apa? menarik nih bandingkan 2 perusahaan ini. beda strategi. dalam jangka panjang entah siapa yang paling benar strategi nya.","BEST,DMAS"
757,Wisdom28,"12 May 21, 12:45","@GrandpaFrogie
Luarrr binasaaa",[]
758,Fuadrahman,"12 May 21, 12:45",beritanya dimana mana buset,[]
759,DindaPutri,"12 May 21, 12:45",@MoonShine zolimi kamu,[]
760,Candra088,"12 May 21, 12:44",$LUCY ini juga,[]
761,Candra088,"12 May 21, 12:44","@warbuff nah kayak $UNVR atau $HMSP
mahal amat","HMSP,UNVR"
762,DindaPutri,"12 May 21, 12:44",@Alvin3131 bayar dulu 3 lot asii:zany_face::zany_face:,[]
763,Wisdom28,"12 May 21, 12:44","@GrandpaFrogie
Ahh biasa aja tuhh. Ente yg sensian om...",[]
764,GrandpaFrogie,"12 May 21, 12:44","@Wisdom28 silakan saja klo DPR dan pemerintah melegalkan. Toh ganja dilegalkan di beberapa negara bagian USA. Pelacuran jg dilegalkan di Jerman. Saya masih konsisten kok. Kesalahan utama tetap pd pengguna. Penjual asal tdk melanggar hukum dan sdh menerangkan ttg bahan yg menyebabkan adiksi, itu sdh cukup, alias tdk nipu.",[]
765,boysimarmata,"12 May 21, 12:44",@Candra088 PPRE asetnya 7T. bahlul ente tukang tak cukur jambulmu,PPRE
766,alfanth,"12 May 21, 12:43",q1 2021 kok belum ada ya,[]
767,Alvin3131,"12 May 21, 12:43",Yuk kak di shared tiap rekomendasi nya di SB biar kita bs analisa rame2.,[]
768,skydrugz27,"12 May 21, 12:43",BNB 10.000 wak,[]
769,Wisdom28,"12 May 21, 12:43","@Hacigo
Satoshi itu nama samaran guoblokk !!",[]
770,aldyfadilillaa,"12 May 21, 12:43","Bg mau nanya ,cara deposit nya gmna ya",[]
771,Wisdom28,"12 May 21, 12:42","@kaburterus
Itulah mengapa kita berbeda. Krn kalian diajarkan hal yg berbeda. Cukup sampai disini saja. Gbu",[]
772,kaburterus,"12 May 21, 12:41",@sidiksaham mungkin datang bulan om,[]
773,otoxilinder,"12 May 21, 12:40",@kaburterus mari kita nikah dan kawinkan mereka berdua,MARI
774,GrandpaFrogie,"12 May 21, 12:40","@Wisdom28 nah inilah orang yg ga bs baca dengan baik tapi lucunya justru dia yg mengatakan orang lain demikian. Tak ada dan tak bisa suatu perkataan bisa memaksakan pemikiran saya ke situ. Memang klo ga diikuti bs ditangkep polisi? Yg maksa itu justru terletak di komen anda lanjutan yg memaksakan debat. Forum ini bro. Tau kan artinya. Orang beropini tak sesuai pemikiranmu ya biasa kali. Di postingan pertama biasa aja kali. Di postingan lanjutan terlihat sekali komen2 anda itu memaksakan diri utk membalas. Terlihat emosinya... contoh pakai kata2 menyerang... ""seenak jidat"". Kekanakan sekali.",BACA
775,Kenteji,"12 May 21, 12:39",property masi banyak tekanan efek corona jgn berharap banyak.. apalagi penurunan pendapatan pakuwon.. dan dia pbv lbh dr 1,[]
776,munas17,"12 May 21, 12:39","@sidiksaham kalau di tarik garis begini biasa ada bulan nya oom, bulan maret atau apa oom, ini udah gak ada...",[]
777,warbuff,"12 May 21, 12:39",yang jelas jangan beli sepeda harga merci bapak,[]
778,Wisdom28,"12 May 21, 12:39","@GrandpaFrogie
Klo gitu narkoba jg harusnya dilegalkan ya om ??? Kan sama2 tau itu mulai dr petani, produsen, pengedar, & konsumen sama2 tau itu obat keji yg buat orang kecanduan & kehilangan akal sehat ??",[]
779,Wisdom28,"12 May 21, 12:39","@GrandpaFrogie
Klo gitu narkoba jg harusnya dilegalkan ya om ??? Kan sama2 tau itu mulai dr petani, produsen, pengedar, & konsumen sama2 tau itu obat keji yg buat orang kecanduan & kehilangan akal sehat ??",[]
780,otoxilinder,"12 May 21, 12:38 · Edited on 12 May 21, 12:38","@risky666 bukan cuma sehari, tapi TIAP HARI transaksinya seperti itu bruakakaka, volume seiprit. Sesekali doank pas di GORENG atau DIBUANG baru nanjak volume $PALM. Transaksi NEGO, emangnya TIAP HARI nya ada transaksi nego dan seberapa banyak? Hati2 kawan, likuiditas sangat penting, saham susah ditebak, tiba2 ada BERITA BURUK atau kasus hukum, ente yakin bisa KABUR dari PALM kalau masuk banyak? Wuakakakaka",PALM
781,winsonskrrrtt,"12 May 21, 12:37","itu pinjaman jangka panjang om aslinya , jatuh tempo kemarin januari. belom kebayar , lagi prosess perpanjangan",[]
782,darius75,"12 May 21, 12:37",@Candra088 data darimana itu ppre asset 80t...ptpp.saja cuma 50t?,"PPRE,PTPP"
783,Hacigo,"12 May 21, 12:37","pencipta kripto pertama bitkoin Satoshi Nakamoto asal Jepang (Bentuk Protes terhadap Dollar)

pencipta koin dodge Billy Markus asal US (negara asal dollar tidak mau kalah)

pencipta koin BNB Changpeng Zao asal Tiongkok (negara super power lain tidak mau kalah juga)

koin koin ternama sekarang memang diciptakan oleh pihak pihak yang asal negara teknologinya sudah mapan.

Pakai logika aja, siapa yang berkuasa dan ingin tetap berkuasa

dengan catatan klo kripto memang ponzi ya,",KOIN
784,sidiksaham,"12 May 21, 12:36",@munas17 BULAN? apa ya....,[]
785,AguanLie,"12 May 21, 12:36",bjkan 5000 tp 50,[]
786,AzizGumelar,"12 May 21, 12:35",Percaya sm kapten @Saham707 aja wak.. Bnb 2000,[]
787,bejocuan,"12 May 21, 12:35","$BMRI $BRIS

mari kita diskusi ringan
BMRI mempunyai 50.9% BRIS,
apakah beli BMRI = membeli 50% BRIS?

PBV BMRI = 1.5
PBV BRIS = 4.1","BMRI,BRIS,MARI"
788,kaburterus,"12 May 21, 12:35 · Edited on 12 May 21, 12:37","@Wisdom28 iblis dl nya jg hamba pilihan Tuhan lalu terhinakan akibat ulahnya sendiri om. zionis itu 11-12 sm iblis udah dijadikan hamba pilihan Tuhan tp begitulah akibat ulahnya sendiri jd terhinakan & terusir. semua nabi & rasul dibunuh, kitab suci dipalsukan, riba kpd non zionis, menebar maut, permusuhan, menduduki wilayah Arab Palestina, menduduki al-aqsa dll. jangan heran kl iblis & zionis diberi keistimewaan sampe hari kiamat tiba Krn dia yg minta & Tuhan jg udah menyetujuinya om",[]
789,sidiksaham,"12 May 21, 12:35",@kaburterus gk ah.... ntar om Ellon bisa marah kl gk sesuai dg dia. ...,[]
790,TaufiqH88,"12 May 21, 12:35",@rgogo dapen? dana pensiun?,[]
791,AguanLie,"12 May 21, 12:35",prediksi gua BBRI jg gocap 50,BBRI
792,ProfitHariaan,"12 May 21, 12:34","Menu sore yg gak ada obat,
Yok ikutan join grup untuk dapat sinyal

Link di bio yaa, tengkyuu

Menu sore buat Senin depan juga ada",LINK
793,pS123,"12 May 21, 12:33",haha dasar kalian para boomer pemikiran nya cetek sekali,[]
794,munas17,"12 May 21, 12:31","@sidiksaham Updatetan terakhir di chat nya gk ada bulan nya lagi, malah jadi turun kepandain SB oom.",[]
795,SofyanKurniawan,"12 May 21, 12:30","hahaha,,,sadis",[]
796,bennix,"12 May 21, 12:30",@kenong saya no comment untuk saham grup B&L,[]
797,kaburterus,"12 May 21, 12:29",@Wisdom28 rokok itu sunset industry om,[]
798,Wisdom28,"12 May 21, 12:29","@kaburterus
Hahahahahaha kebencian & permusuhan terpendam & didoktrinkan sedari awal yg menciptakan khayalan conspiracy theory.
Pd dasarnya mereka memang bangsa pilihan TUHAN dgn berbagai keunggulan terutama kejeniusan mereka sbg anugerah TUHAN pd mereka.
Seandainya saja kalian tahu kebenaran yg sesungguhnya...",[]
799,cuanmelulu,"12 May 21, 12:28","Alhamdulillah terimakasih menu Sore gak ada obat terus, Hijau melulu, semoga cuan melulu yaa

Gabung grup yok buat dapat menu sore, link di bio",LINK
800,GrandpaFrogie,"12 May 21, 12:28","@Wisdom28 cm komen maksa ini. Sdh ditulis sebelumnya, jk produsen dan pengguna sdh sm2 tau itu ada nikotin.",[]
801,DedyLai,"12 May 21, 12:27",besok ngamuk nih $PTBA,PTBA
802,Frans57,"12 May 21, 12:26","Kalau mau berjudi, baik itu judi konvensioanal ataupun judi saham dan kripto usahakan pakai maksimal 20% equity saja. Kalau loss pasti sakit, tp minimal kejiwaan dan rumah tangga ndk hancur.

Kalau mau investasi, terserah saja karena kalau investasi pasti pakai uang dingin. Kalau pakai uang panas namanya bukan investasi, itu dagang.",UANG
803,kaburterus,"12 May 21, 12:26","@Laresae pelan2 lah, kan udah dimulai dr perbankan syariah seperti $BRIS, dll nya om",BRIS
804,bennix,"12 May 21, 12:26","Dulu slogannya RDT adalah 100% aman. Ternyata bisa gagal bayar juga.

Setuju sekali kalau aturan ini direvisi, kalau perlu dibuatkan metode yang lebih extreme lagi seperti Mandat Vanguard yang melarang penempatan dana lebih dari 5% di satu instrumen perusahaan.

Biar lebih capek mikir lagi Manajer Investasi nya Mandiri $BMRI

Apa artinya setiap seminar diajari prinsip-prinsip distribusi resiko, diversifikasi, jangan taruh telur di satu keranjang, dll. Ternyata MI Profesional saja tidak ada yang menerapkan sistem manajemen resiko.

Padahal itu dana bukan punya eyang mereka.","AMAN,BMRI,SATU"
805,Laresae,"12 May 21, 12:25","@kaburterus betul om,teknologi canggih dikuasai dan dibikin oleh zionis, ada baiknya jangan pake internet, smartphone om,krn bikinan zionis itu",[]
806,Dpaji,"12 May 21, 12:24",Bandar approved kalo pake metode ini.,[]
807,Candra088,"12 May 21, 12:23","@boysimarmata cek harganya Bocil
kalau $PPRE asetnya 70-80 triliun mau gak mau harga sahamnya ribuan
ini ratusan jadinya km tau sendiri bocill",PPRE
808,MaknaInvestasiT2,"12 May 21, 12:23 · Edited on 12 May 21, 12:23","@faraghyhasan

eh si Bapak ternyata. met hari raya dulu Pak.",[]
809,AguanLie,"12 May 21, 12:22",gua tggu gocap 50,[]
810,boysimarmata,"12 May 21, 12:21",hebat apanya. jangan disamain ppre sama GGRM pekok,"GGRM,PPRE"
811,Esario,"12 May 21, 12:21",,[]
812,Esario,"12 May 21, 12:21",,[]
813,Candra088,"12 May 21, 12:21",@jameshermanto akakakakakakakakaka,[]
814,longwei,"12 May 21, 12:20","$IHSG, $LQ45

Rare event occurs on the chart when applying Flow Of Fund s indicator (FOF) on price movement of Indonesia Composite Index (IHSG). FOF is built around the big data from daily incoming and outgoing funds in Indonesia Stock Exchange. From the beginning of April 2021 right up until today, price s movement of IHSG shows a tendency of sideway, but on the flip side FOF Indicator has advanced to the bullish territory. FOF Indicator shows condition of positive divergence on the stock market.

Hypothetically it might reveal that institutional investors keep their trading activities on muted mode and secretly accumulating shares behind the scene. Since our core market belief is that flows of incoming and outgoing funds in the stock exchange affect the market which manifests itself on the chart by way of price and volume action, FOF Indicator might delivery sort of signal when to enter and exit market when it is paired with LQ45 Index Fund, such as AVRIST Indeks LQ45.

Disclosure:

We are long AVRIST Indeks LQ45. I wrote this article myself and It expresses my own opinions. I am not receiving compensation for it. Please don t treat it as a direct recommendation to buy or sell securities. Investing is risky. Each person must conduct their own research, analysis and risk assessment before every trade.",[]
815,MaknaInvestasiT2,"12 May 21, 12:20","@faraghyhasan

https://bit.ly/2YZFRyB",[]
816,kaburterus,"12 May 21, 12:20 · Edited on 12 May 21, 12:23","@Hacigo betul, mayoritas bankir, sistem perbankan riba di dunia ini yg buat zionis om. zionis menguasai sistem & teknologi canggih om. dl zionis udah bebas cetak USD & skrng terulang kembali dengan bebas buat clepto om",[]
817,maroriver,"12 May 21, 12:20",@Wisdom28 :zany_face:,[]
818,sigambal,"12 May 21, 12:19 · Edited on 12 May 21, 12:19",@jef21 darimana pula lagi ente tahu kepemilikan masyarakat dibawah 1 milyard lembar ?... tambah bingung saya? ....,[]
819,kaburterus,"12 May 21, 12:17","@StockbitNews gak jelas underlyingnya tp mau dilegalkan, dibuatin bursanya & dipajakin",[]
820,MT1965,"12 May 21, 12:16",ZINC saham repo gak sih min?... kalo sudah naik sampai harga repo... biasanya akan dijaga gak naik n gak turun... paling gerak dikit.... kayaknya dikisaran 180 sudah stagnan...,ZINC
821,AnggaCahyoRiyanto,"12 May 21, 12:16","harga saham2 batubara msh pada tidur
$PTBA $ADRO","ADRO,PTBA"
822,jameshermanto,"12 May 21, 12:16","$IHSG $UNVR
ada subtitlenya
https://bit.ly/3qK7zeT",UNVR
823,Alvin3131,"12 May 21, 12:15",@guepe sis LOL.,[]
824,SetiawanSkom,"12 May 21, 12:15",paling yang banyakan tebus retail.... perusahaan bagus mana yang terus right issue? memeras uang retail,UANG
825,AnggaCahyoRiyanto,"12 May 21, 12:15","@david255 nah ini, BEI kerjaannya ngelindungi bandar",[]
826,260800,"12 May 21, 12:14","@Anton1694 biasanya kalau emiten turn around nggak ketutup full sih, maksimal cuman ketutup setengahnya",[]
827,sigambal,"12 May 21, 12:14",gas terus om@kaburterus ..... giliran bahas baca kapan lagi ?.....,BACA
828,Wisdom28,"12 May 21, 12:14","@Hacigo
Anda kebanyakan mengkhayal soal zionis sbg teroris. Krn mindset dasar anda sudah diajari spt itu dr awal.
Belajar sejarah yg benar. Spy jelas latar belakang dibalik semuanya. Dr awal pertama anda sudah pny pemahaman yg salah bagaimana mgkn menilai dgn baik.
Maaf kita memang berbeda dr segi pemahaman & struktur sejarah.",[]
829,nooobieee,"12 May 21, 12:13",$CLEO $ULTJ $HOKI,"CLEO,HOKI,ULTJ"
830,nooobieee,"12 May 21, 12:13",$CLEO $ULTJ $HOKI,"CLEO,HOKI,ULTJ"
831,Candra088,"12 May 21, 12:12",lebih baik membeli perusahaan hebat Di harga wajarnya $PPRE $GGRM dari pada perusahaan kecil Di harga murah $EAST $KBAG $BAPI,"BAPI,EAST,GGRM,KBAG,PPRE"
832,kaburterus,"12 May 21, 12:10",@sidiksaham gak pom2 clepto aja om,[]
833,Alvin3131,"12 May 21, 12:10",@Rahmat1112 tp kan dia nawarin bunga deposito nya gede jd cost of fund mahal dan ga ada ekosistem E commerce dll. Feeling gw ga bakal tahan lama bbyb mah,BBYB
